"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"24","009",15826,,1960,,,,,,,1257,5978,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",32572,,1960,,,,,1613,,1789,9286,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",71930,,1960,,,,,2268,,6636,21443,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",340928,,1960,,,,,59995,,17963,97141,,,,,,,,,,,,,,,,,,,,,,,,
"24","033",357395,,1960,,,,,45423,,14977,99617,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",163401,,1960,,,,,25478,,9569,56949,,,,,,,,,,,,,,,,,,,,,,,,
"51","043",7942,,1960,,,,,,,774,2590,,,,,,,,,,,,,,,,,,,,,,,,
"51","047",15088,,1960,,,,,,,1779,4568,,,,,,,,,,,,,,,,,,,,,,,,
"51","059",275002,,1960,,,,,29432,,7621,69184,,,,,,,,,,,,,,,,,,,,,,,,
"51","061",24066,,1960,,,,,,,2273,7305,,,,,,,,,,,,,,,,,,,,,,,,
"51","107",24549,,1960,,,,,,,2354,7370,,,,,,,,,,,,,,,,,,,,,,,,
"51","153",50164,,1960,,,,,3603,,1762,13207,,,,,,,,,,,,,,,,,,,,,,,,
"51","157",5368,,1960,,,,,,,618,1865,,,,,,,,,,,,,,,,,,,,,,,,
"51","177",13819,,1960,,,,,,,1085,3999,,,,,,,,,,,,,,,,,,,,,,,,
"51","179",16876,,1960,,,,,,,1038,5021,,,,,,,,,,,,,,,,,,,,,,,,
"51","187",14655,,1960,,,,,,,1212,4805,,,,,,,,,,,,,,,,,,,,,,,,
"51","510",91023,,1960,,,,,10291,,4850,29754,,,,,,,,,,,,,,,,,,,,,,,,
"51","600",,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","610",10192,,1960,,,,,1354,,580,2894,,,,,,,,,,,,,,,,,,,,,,,,
"51","630",13639,,1960,,,,,,,1210,4102,,,,,,,,,,,,,,,,,,,,,,,,
"51","683",,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","685",,,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","037",18665,,1960,,,,,,,1733,5857,,,,,,,,,,,,,,,,,,,,,,,,
"11","001",756510,,1970,,,,334976,35568,,70962,278439,2612,9987,13161,9524,14581,38235,43825,18501,14542,26230,2497,7437,13531,9960,18093,50102,66942,28830,19622,14839,,,,
"24","009",20682,,1970,,,,7141,266,,1849,7932,94,552,495,565,497,907,1336,226,219,151,97,292,450,555,468,1181,1432,406,228,98,,,,
"24","017",47678,,1970,,,,16019,802,,2305,13577,148,471,756,923,1095,2140,3847,927,519,434,112,256,570,792,993,2631,4338,649,314,210,,,,
"24","021",84927,,1970,,,,33797,782,,7457,26292,250,794,1878,3153,1732,4891,4863,1343,1210,1454,123,551,1760,3393,1779,5589,6559,1925,1199,635,,,,
